,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
22,Bewakoof,Men White Solid Round Neck Pure Cotton T-shirt,₹499,₹1199,(Rs. 700 OFF),"[4, 5, 5]","['Exchange service is damaged....this shirt size shown one, delivered with one size... Too large.. uncomfortable....but quality is too best...my chest size is L but here I have to buy the M size...note it and buy....must buy....best quality...', ""Fabric of cloth is very gud and fitting also too good... I'm loving itt..."", 'I love this wearing t shirt and I recommend to others buy this T-shirt .just love to wear this outfit.']","['Sai Srutinanda Pradhan', 'Rahul Aggarwal', 'Rajeshwar H Narhare']","['14 June 2021', '14 Sept 2021', '24 Feb 2023']"
23,Roadster,Men Black Cotton Pure Cotton T-shirt,₹299,₹399,(25% OFF),"[5, 4, 4]","['Bought the T-shirt for my sister. Perfect for women looking for oversized Tees. Breathable/length is perfect plus the sleeve length is also comfortable. The cloth doesn’t wrinkle easily which is good and it’s not transparent at all.', 'Somehow the quality of the product has degraded ovee the years . Roadster t-shirts used to be of really good quality but nowadays the fabric is so thin , white one is almost a see through , like the ones we get in sarojini markets , cheap ones to be specific , and i am not saying this as it is , i have 3 roadster t-shirts that i bought last year .', ""Looking good, but it's not too dark black as we see in myntra pic, it's lightly faint dark or dark gray colour but it's look unique""]","['Devika Narla', 'Linn', 'Kedar Jadhav']","['3 July 2021', '22 Jan 2022', '19 July 2021']"
24,Roadster,The Lifestyle Co. Contrast Polo Collar Pure Cotton Tshirt,₹409,₹899,(Rs. 490 OFF),[5],['Good'],['Sandeep Kumar'],['11 Jan 2024']
25,Kook N Keech,Men White Teal Blue Striped Round Neck Pure Cotton Relaxed T-shirt,₹516,₹1099,(53% OFF),"[3, 5, 4]","['As per price u can go for it...but choose ur size correctly if any one where M size go for S size and L one go for M size...so that it fits perfectly.. thanks Myntra for promising delivery.?', 'Good looking tshirt, loved it ?', 'The wear of the shirt is awesome. Quality adequate. Was expecting curve to the shirt but it was straight enough. Rest assured, perfect fit and same quality as observed in the picture. Thank you so much.']","['Wasad Ahamad', 'Shahdin', 'Akash Suresh Khobare']","['12 Mar 2022', '14 Apr 2023', '2 Aug 2023']"
26,Maniac,Colourblocked Raglan Sleeves Pure Cotton T-Shirt,₹597,₹1659,(64% OFF),"[5, 3, 3]","[""I don't talk this product... So amazing😍😍"", 'I ordered Size M. But it is not looking as shown in the picture. The color is good as expected. I can feel comfort in this t-shirt. Nice one.', ""It's not really the way I expected but it's okay, I would say. Also I think it's pricey 😕""]","['Sai Kumar', 'Saikumar', 'Lucas']","['29 Dec 2023', '12 Oct 2023', '10 Jan 2024']"
27,Puma,Men Performance SS Sports T-shirt,₹599,₹1499,(60% OFF),"[5, 5, 5]","['Fit and Finish is super High quality', 'Perfect 👍 for workout & gym', 'Nice fabric. Feels sturdy and fulfills the purpose.']","['Vishwanath', 'Mrinal Kanti Ghosh', 'Sweta Singh']","['23 Nov 2023', '15 Jan 2024', '11 Dec 2023']"
28,Mast & Harbour,Mast Harbour Men Navy Blue White Colourblocked Polo Collar Pure Cotton T-shirt,₹558,₹1299,(57% OFF),"[4, 5, 4]","['T-SHIRT quality is good bt if you wear M size so you should by S size', ""Product is Excellent....It's best for summer season"", 'My husband loved it ?. Thank you Myntra.']","['Kuldeep Pathak', 'Biru', 'Deepansh']","['30 Nov 2021', '9 June 2021', '28 Jan 2022']"
29,Elibolz,Graphic Printed Cotton Oversized T-shirt,₹499,₹799,(Rs. 300 OFF),"[3, 5, 5]","['Just looking like a wow 🤩 ♥️', '', ""It's My favourite app , good quality, love it'""]","['Kishan', 'Aditi', 'Venki Venki']","['9 Dec 2023', '2 Dec 2023', '31 Dec 2023']"
30,BYFORD by Pantaloons,Men White Solid T-shirt,Rs. 349,,,,,,
31,H&M,HM Men Black Solid Cotton Pure Cotton T-shirt Regular Fit,Rs. 399,,,,,,
